Energy (eV),Cross Section (m^2)
13.273,0.0
13.274,1.238e-26
13.29,2.1565e-25
13.308,4.3505e-25
13.326,6.5827e-25
13.345,8.8538e-25
13.363,1.1165e-24
13.382,1.3515e-24
13.401,1.5907e-24
13.421,1.8341e-24
13.441,2.0817e-24
13.462,2.3336e-24
13.482,2.5899e-24
13.503,2.8506e-24
13.525,3.1159e-24
13.547,3.3859e-24
13.569,3.6605e-24
13.591,3.9399e-24
13.614,4.2242e-24
13.638,4.5134e-24
13.661,4.8077e-24
13.686,5.1071e-24
13.71,5.4117e-24
13.735,5.7216e-24
13.761,6.0369e-24
13.787,6.3577e-24
13.813,6.6841e-24
13.84,7.0162e-24
13.867,7.354e-24
13.895,7.6978e-24
13.923,8.0475e-24
13.952,8.4033e-24
13.981,8.7654e-24
14.011,9.2052e-24
14.041,9.7804e-24
14.072,1.0366e-23
14.103,1.0961e-23
14.135,1.1567e-23
14.168,1.2183e-23
14.201,1.281e-23
14.234,1.3448e-23
14.268,1.4097e-23
14.303,1.4757e-23
14.338,1.5429e-23
14.374,1.6113e-23
14.411,1.6808e-23
14.448,1.7516e-23
14.486,1.8236e-23
14.525,1.8968e-23
14.564,1.9713e-23
14.604,2.0472e-23
14.644,2.1243e-23
14.686,2.2028e-23
14.728,2.2826e-23
14.77,2.3639e-23
14.814,2.4465e-23
14.858,2.5306e-23
14.903,2.6162e-23
14.949,2.7033e-23
14.996,2.7918e-23
15.043,2.8819e-23
15.091,2.9736e-23
15.14,3.0669e-23
15.19,3.1618e-23
15.241,3.2584e-23
15.293,3.3566e-23
15.346,3.4566e-23
15.399,3.5583e-23
15.454,3.6617e-23
15.509,3.767e-23
15.565,3.8741e-23
15.623,3.983e-23
15.681,4.0939e-23
15.74,4.2067e-23
15.801,4.3215e-23
15.862,4.4382e-23
15.925,4.557e-23
15.988,4.6779e-23
16.053,4.7955e-23
16.119,4.9141e-23
16.186,5.0346e-23
16.254,5.1573e-23
16.323,5.2822e-23
16.394,5.4092e-23
16.466,5.5384e-23
16.539,5.6698e-23
16.613,5.8036e-23
16.689,5.9397e-23
16.766,6.0781e-23
16.844,6.219e-23
16.924,6.3623e-23
17.005,6.5081e-23
17.087,6.6565e-23
17.171,6.8074e-23
17.256,6.961e-23
17.343,7.1172e-23
17.431,7.2762e-23
17.521,7.4379e-23
17.612,7.6025e-23
