Energy (eV),Cross Section (m^2)
17.706,7.7699e-23
17.8,7.9402e-23
17.896,8.1135e-23
17.994,8.2899e-23
18.094,8.4316e-23
18.195,8.5736e-23
18.299,8.718e-23
18.404,8.865e-23
18.51,9.0145e-23
18.619,9.1666e-23
18.73,9.3214e-23
18.842,9.4788e-23
18.956,9.639e-23
19.073,9.7801e-23
19.191,9.9104e-23
19.312,1.0043e-22
19.434,1.0178e-22
19.559,1.0315e-22
19.686,1.0455e-22
19.815,1.0597e-22
19.947,1.0741e-22
20.08,1.0864e-22
20.216,1.0973e-22
20.355,1.1084e-22
20.495,1.1196e-22
20.639,1.1311e-22
20.784,1.1428e-22
20.933,1.1546e-22
21.083,1.1633e-22
21.237,1.1695e-22
21.393,1.1757e-22
21.552,1.1821e-22
21.714,1.1885e-22
21.878,1.1951e-22
22.045,1.2009e-22
22.216,1.2043e-22
22.389,1.2078e-22
22.565,1.2113e-22
22.744,1.2149e-22
22.927,1.2185e-22
23.112,1.2222e-22
23.301,1.226e-22
23.493,1.2299e-22
23.689,1.2338e-22
23.887,1.2377e-22
24.09,1.2418e-22
24.296,1.2459e-22
24.505,1.2501e-22
24.718,1.2544e-22
24.935,1.2587e-22
25.155,1.2597e-22
25.38,1.2592e-22
25.608,1.2588e-22
25.841,1.2583e-22
26.077,1.2578e-22
26.317,1.2574e-22
34.66,1.2314e-22
38.88,1.2067e-22
41.785,1.1786e-22
43.896,1.1533e-22
46.157,1.1261e-22
48.581,1.097e-22
50.511,1.0739e-22
52.545,1.0495e-22
54.686,1.0238e-22
56.941,9.967e-23
59.317,9.682e-23
61.818,9.4091e-23
64.453,9.1325e-23
66.286,8.9399e-23
68.184,8.7406e-23
70.149,8.5343e-23
72.183,8.3208e-23
74.288,8.0997e-23
76.468,7.8709e-23
78.724,7.634e-23
81.059,7.4206e-23
83.476,7.2393e-23
85.979,7.0516e-23
88.569,6.8573e-23
91.25,6.6563e-23
94.025,6.4481e-23
96.898,6.2326e-23
99.872,6.0096e-23
102.95,5.828e-23
106.14,5.6531e-23
109.44,5.4827e-23
112.85,5.3168e-23
116.38,5.1553e-23
120.04,4.9982e-23
123.83,4.8453e-23
127.75,4.6966e-23
131.81,4.552e-23
136.01,4.4114e-23
140.36,4.2748e-23
144.86,4.1419e-23
149.52,4.0129e-23
154.34,3.8875e-23
159.33,3.7657e-23
164.5,3.6474e-23
169.85,3.5325e-23
175.39,3.4209e-23
181.12,3.3127e-23
187.06,3.2076e-23
193.2,3.1056e-23
199.56,3.0067e-23
206.14,2.9107e-23
212.95,2.8175e-23
220.0,2.7272e-23
227.3,2.6396e-23
234.86,2.5547e-23
242.68,2.4724e-23
250.78,2.3925e-23
259.16,2.3152e-23
267.84,2.2402e-23
276.82,2.1675e-23
286.11,2.0971e-23
295.74,2.0288e-23
305.7,1.9627e-23
316.01,1.8987e-23
326.69,1.8366e-23
337.73,1.7765e-23
349.17,1.7183e-23
361.01,1.662e-23
373.27,1.6074e-23
385.95,1.5546e-23
399.09,1.5034e-23
412.68,1.4539e-23
426.75,1.406e-23
441.32,1.3596e-23
456.39,1.3147e-23
472.0,1.2712e-23
488.16,1.2291e-23
513.46,1.1685e-23
540.11,1.1109e-23
568.18,1.056e-23
597.74,1.0038e-23
628.87,9.541e-24
661.65,9.0682e-24
696.18,8.6184e-24
732.55,8.1906e-24
770.85,7.7836e-24
811.19,7.3966e-24
853.67,7.0285e-24
898.41,6.6785e-24
945.53,6.3457e-24
995.15,6.0292e-24
