Angle (deg),Energy (eV),Differential cross section (m2/sr)
113.0,0.12245,1.3018e-22
114.0,0.12245,1.2341e-22
115.0,0.12245,1.1697e-22
116.0,0.12245,1.1085e-22
117.0,0.12245,1.0504e-22
118.0,0.12245,9.9528e-23
119.0,0.12245,9.4299e-23
120.0,0.12245,8.9346e-23
121.0,0.12245,8.4657e-23
122.0,0.12245,8.0221e-23
123.0,0.12245,7.6029e-23
124.0,0.12245,7.2069e-23
125.0,0.12245,6.8332e-23
126.0,0.12245,6.4808e-23
127.0,0.12245,6.1487e-23
128.0,0.12245,5.8359e-23
129.0,0.12245,5.5415e-23
130.0,0.12245,5.2646e-23
131.0,0.12245,5.0044e-23
132.0,0.12245,4.7599e-23
133.0,0.12245,4.5304e-23
134.0,0.12245,4.3151e-23
135.0,0.12245,4.1133e-23
136.0,0.12245,3.9241e-23
137.0,0.12245,3.747e-23
138.0,0.12245,3.5812e-23
139.0,0.12245,3.426e-23
140.0,0.12245,3.281e-23
141.0,0.12245,3.1455e-23
142.0,0.12245,3.0189e-23
143.0,0.12245,2.9007e-23
144.0,0.12245,2.7905e-23
145.0,0.12245,2.6877e-23
146.0,0.12245,2.5918e-23
147.0,0.12245,2.5026e-23
148.0,0.12245,2.4195e-23
149.0,0.12245,2.3422e-23
150.0,0.12245,2.2704e-23
151.0,0.12245,2.2036e-23
152.0,0.12245,2.1416e-23
153.0,0.12245,2.084e-23
154.0,0.12245,2.0307e-23
155.0,0.12245,1.9812e-23
156.0,0.12245,1.9355e-23
157.0,0.12245,1.8932e-23
158.0,0.12245,1.8541e-23
159.0,0.12245,1.8181e-23
160.0,0.12245,1.7848e-23
161.0,0.12245,1.7543e-23
162.0,0.12245,1.7262e-23
163.0,0.12245,1.7005e-23
164.0,0.12245,1.6769e-23
165.0,0.12245,1.6554e-23
166.0,0.12245,1.6358e-23
167.0,0.12245,1.6181e-23
168.0,0.12245,1.6021e-23
169.0,0.12245,1.5877e-23
170.0,0.12245,1.5748e-23
171.0,0.12245,1.5634e-23
172.0,0.12245,1.5534e-23
173.0,0.12245,1.5447e-23
174.0,0.12245,1.5373e-23
175.0,0.12245,1.531e-23
176.0,0.12245,1.526e-23
177.0,0.12245,1.5221e-23
178.0,0.12245,1.5194e-23
179.0,0.12245,1.5178e-23
180.0,0.12245,1.5172e-23
0.0,0.13605,2.3026e-21
1.0,0.13605,2.3021e-21
2.0,0.13605,2.3005e-21
3.0,0.13605,2.2978e-21
4.0,0.13605,2.2941e-21
5.0,0.13605,2.2893e-21
6.0,0.13605,2.2834e-21
7.0,0.13605,2.2765e-21
8.0,0.13605,2.2686e-21
9.0,0.13605,2.2596e-21
10.0,0.13605,2.2496e-21
11.0,0.13605,2.2387e-21
12.0,0.13605,2.2267e-21
13.0,0.13605,2.2138e-21
14.0,0.13605,2.1999e-21
15.0,0.13605,2.1851e-21
16.0,0.13605,2.1693e-21
17.0,0.13605,2.1527e-21
18.0,0.13605,2.1351e-21
19.0,0.13605,2.1168e-21
20.0,0.13605,2.0975e-21
21.0,0.13605,2.0775e-21
22.0,0.13605,2.0567e-21
23.0,0.13605,2.0351e-21
24.0,0.13605,2.0128e-21
25.0,0.13605,1.9898e-21
26.0,0.13605,1.9661e-21
27.0,0.13605,1.9418e-21
28.0,0.13605,1.9168e-21
29.0,0.13605,1.8912e-21
30.0,0.13605,1.865e-21
31.0,0.13605,1.8383e-21
32.0,0.13605,1.8111e-21
33.0,0.13605,1.7834e-21
34.0,0.13605,1.7553e-21
35.0,0.13605,1.7267e-21
36.0,0.13605,1.6977e-21
37.0,0.13605,1.6684e-21
38.0,0.13605,1.6387e-21
39.0,0.13605,1.6087e-21
40.0,0.13605,1.5785e-21
41.0,0.13605,1.5479e-21
42.0,0.13605,1.5172e-21
43.0,0.13605,1.4863e-21
44.0,0.13605,1.4553e-21
45.0,0.13605,1.4241e-21
46.0,0.13605,1.3928e-21
47.0,0.13605,1.3614e-21
48.0,0.13605,1.33e-21
49.0,0.13605,1.2986e-21
50.0,0.13605,1.2672e-21
51.0,0.13605,1.2358e-21
52.0,0.13605,1.2045e-21
53.0,0.13605,1.1734e-21
54.0,0.13605,1.1423e-21
55.0,0.13605,1.1114e-21
56.0,0.13605,1.0806e-21
57.0,0.13605,1.0501e-21
58.0,0.13605,1.0198e-21
59.0,0.13605,9.8972e-22
60.0,0.13605,9.5992e-22
61.0,0.13605,9.3042e-22
62.0,0.13605,9.0124e-22
63.0,0.13605,8.724e-22
64.0,0.13605,8.4391e-22
65.0,0.13605,8.1581e-22
66.0,0.13605,7.881e-22
67.0,0.13605,7.6081e-22
68.0,0.13605,7.3394e-22
69.0,0.13605,7.0753e-22
70.0,0.13605,6.8158e-22
71.0,0.13605,6.5612e-22
72.0,0.13605,6.3114e-22
73.0,0.13605,6.0667e-22
74.0,0.13605,5.8271e-22
75.0,0.13605,5.5929e-22
76.0,0.13605,5.364e-22
77.0,0.13605,5.1405e-22
78.0,0.13605,4.9226e-22
79.0,0.13605,4.7102e-22
80.0,0.13605,4.5036e-22
81.0,0.13605,4.3026e-22
82.0,0.13605,4.1073e-22
83.0,0.13605,3.9177e-22
84.0,0.13605,3.7339e-22
85.0,0.13605,3.5559e-22
86.0,0.13605,3.3836e-22
87.0,0.13605,3.2171e-22
88.0,0.13605,3.0562e-22
89.0,0.13605,2.901e-22
90.0,0.13605,2.7514e-22
91.0,0.13605,2.6074e-22
92.0,0.13605,2.4689e-22
93.0,0.13605,2.3358e-22
94.0,0.13605,2.208e-22
95.0,0.13605,2.0855e-22
96.0,0.13605,1.9682e-22
97.0,0.13605,1.856e-22
98.0,0.13605,1.7487e-22
99.0,0.13605,1.6463e-22
100.0,0.13605,1.5486e-22
101.0,0.13605,1.4555e-22
102.0,0.13605,1.367e-22
103.0,0.13605,1.2828e-22
104.0,0.13605,1.2029e-22
105.0,0.13605,1.127e-22
106.0,0.13605,1.0552e-22
107.0,0.13605,9.8717e-23
108.0,0.13605,9.2288e-23
109.0,0.13605,8.6215e-23
110.0,0.13605,8.0486e-23
111.0,0.13605,7.5087e-23
112.0,0.13605,7.0005e-23
113.0,0.13605,6.5226e-23
114.0,0.13605,6.0736e-23
115.0,0.13605,5.6523e-23
116.0,0.13605,5.2573e-23
117.0,0.13605,4.8875e-23
118.0,0.13605,4.5416e-23
119.0,0.13605,4.2183e-23
120.0,0.13605,3.9165e-23
121.0,0.13605,3.635e-23
122.0,0.13605,3.3728e-23
123.0,0.13605,3.1287e-23
124.0,0.13605,2.9017e-23
125.0,0.13605,2.6909e-23
126.0,0.13605,2.4951e-23
127.0,0.13605,2.3136e-23
128.0,0.13605,2.1454e-23
129.0,0.13605,1.9897e-23
130.0,0.13605,1.8457e-23
131.0,0.13605,1.7125e-23
132.0,0.13605,1.5896e-23
133.0,0.13605,1.4761e-23
134.0,0.13605,1.3714e-23
135.0,0.13605,1.275e-23
136.0,0.13605,1.1861e-23
137.0,0.13605,1.1043e-23
138.0,0.13605,1.0291e-23
139.0,0.13605,9.5991e-24
140.0,0.13605,8.9633e-24
141.0,0.13605,8.3793e-24
142.0,0.13605,7.843e-24
143.0,0.13605,7.3509e-24
144.0,0.13605,6.8994e-24
145.0,0.13605,6.4853e-24
146.0,0.13605,6.1057e-24
147.0,0.13605,5.7578e-24
148.0,0.13605,5.439e-24
149.0,0.13605,5.1471e-24
150.0,0.13605,4.8797e-24
151.0,0.13605,4.635e-24
152.0,0.13605,4.411e-24
153.0,0.13605,4.2061e-24
154.0,0.13605,4.0188e-24
155.0,0.13605,3.8475e-24
156.0,0.13605,3.691e-24
157.0,0.13605,3.548e-24
158.0,0.13605,3.4175e-24
159.0,0.13605,3.2985e-24
160.0,0.13605,3.19e-24
161.0,0.13605,3.0912e-24
162.0,0.13605,3.0013e-24
163.0,0.13605,2.9196e-24
164.0,0.13605,2.8456e-24
165.0,0.13605,2.7786e-24
166.0,0.13605,2.718e-24
167.0,0.13605,2.6635e-24
168.0,0.13605,2.6146e-24
169.0,0.13605,2.5709e-24
170.0,0.13605,2.5321e-24
171.0,0.13605,2.4978e-24
172.0,0.13605,2.4679e-24
173.0,0.13605,2.4419e-24
174.0,0.13605,2.4199e-24
175.0,0.13605,2.4015e-24
176.0,0.13605,2.3867e-24
177.0,0.13605,2.3753e-24
178.0,0.13605,2.3672e-24
179.0,0.13605,2.3624e-24
180.0,0.13605,2.3608e-24
0.0,0.14966,2.2593e-21
1.0,0.14966,2.2587e-21
2.0,0.14966,2.2569e-21
3.0,0.14966,2.2539e-21
4.0,0.14966,2.2497e-21
5.0,0.14966,2.2443e-21
6.0,0.14966,2.2378e-21
7.0,0.14966,2.2301e-21
8.0,0.14966,2.2212e-21
9.0,0.14966,2.2112e-21
10.0,0.14966,2.2e-21
11.0,0.14966,2.1878e-21
12.0,0.14966,2.1744e-21
13.0,0.14966,2.16e-21
14.0,0.14966,2.1445e-21
15.0,0.14966,2.128e-21
16.0,0.14966,2.1105e-21
17.0,0.14966,2.092e-21
18.0,0.14966,2.0725e-21
19.0,0.14966,2.0521e-21
20.0,0.14966,2.0308e-21
21.0,0.14966,2.0087e-21
22.0,0.14966,1.9857e-21
23.0,0.14966,1.9618e-21
24.0,0.14966,1.9372e-21
25.0,0.14966,1.9118e-21
26.0,0.14966,1.8858e-21
27.0,0.14966,1.859e-21
28.0,0.14966,1.8316e-21
29.0,0.14966,1.8036e-21
30.0,0.14966,1.7749e-21
31.0,0.14966,1.7458e-21
32.0,0.14966,1.7161e-21
33.0,0.14966,1.686e-21
34.0,0.14966,1.6554e-21
35.0,0.14966,1.6244e-21
36.0,0.14966,1.593e-21
37.0,0.14966,1.5614e-21
38.0,0.14966,1.5294e-21
39.0,0.14966,1.4971e-21
40.0,0.14966,1.4647e-21
41.0,0.14966,1.432e-21
42.0,0.14966,1.3992e-21
43.0,0.14966,1.3663e-21
44.0,0.14966,1.3333e-21
45.0,0.14966,1.3002e-21
46.0,0.14966,1.2672e-21
47.0,0.14966,1.2341e-21
48.0,0.14966,1.2011e-21
49.0,0.14966,1.1682e-21
50.0,0.14966,1.1354e-21
51.0,0.14966,1.1028e-21
52.0,0.14966,1.0703e-21
53.0,0.14966,1.0381e-21
54.0,0.14966,1.0061e-21
55.0,0.14966,9.7431e-22
56.0,0.14966,9.4287e-22
57.0,0.14966,9.1174e-22
58.0,0.14966,8.8097e-22
59.0,0.14966,8.5058e-22
60.0,0.14966,8.2058e-22
61.0,0.14966,7.9101e-22
62.0,0.14966,7.6189e-22
63.0,0.14966,7.3323e-22
64.0,0.14966,7.0506e-22
65.0,0.14966,6.774e-22
66.0,0.14966,6.5027e-22
67.0,0.14966,6.2368e-22
68.0,0.14966,5.9765e-22
69.0,0.14966,5.7219e-22
70.0,0.14966,5.4732e-22
71.0,0.14966,5.2305e-22
72.0,0.14966,4.9938e-22
73.0,0.14966,4.7634e-22
74.0,0.14966,4.5392e-22
75.0,0.14966,4.3213e-22
76.0,0.14966,4.1098e-22
77.0,0.14966,3.9048e-22
78.0,0.14966,3.7062e-22
79.0,0.14966,3.5141e-22
80.0,0.14966,3.3284e-22
81.0,0.14966,3.1492e-22
82.0,0.14966,2.9765e-22
83.0,0.14966,2.8101e-22
84.0,0.14966,2.6501e-22
85.0,0.14966,2.4964e-22
86.0,0.14966,2.3489e-22
87.0,0.14966,2.2076e-22
88.0,0.14966,2.0724e-22
89.0,0.14966,1.9431e-22
90.0,0.14966,1.8197e-22
91.0,0.14966,1.702e-22
92.0,0.14966,1.59e-22
93.0,0.14966,1.4834e-22
94.0,0.14966,1.3822e-22
95.0,0.14966,1.2863e-22
96.0,0.14966,1.1954e-22
97.0,0.14966,1.1094e-22
98.0,0.14966,1.0282e-22
99.0,0.14966,9.5159e-23
100.0,0.14966,8.7946e-23
101.0,0.14966,8.1161e-23
102.0,0.14966,7.4789e-23
103.0,0.14966,6.8814e-23
104.0,0.14966,6.3218e-23
105.0,0.14966,5.7987e-23
106.0,0.14966,5.3103e-23
107.0,0.14966,4.855e-23
108.0,0.14966,4.4314e-23
109.0,0.14966,4.0377e-23
110.0,0.14966,3.6725e-23
111.0,0.14966,3.3343e-23
112.0,0.14966,3.0215e-23
113.0,0.14966,2.7329e-23
114.0,0.14966,2.4669e-23
115.0,0.14966,2.2222e-23
116.0,0.14966,1.9975e-23
117.0,0.14966,1.7916e-23
118.0,0.14966,1.6032e-23
119.0,0.14966,1.4313e-23
120.0,0.14966,1.2746e-23
121.0,0.14966,1.132e-23
122.0,0.14966,1.0027e-23
123.0,0.14966,8.8562e-24
124.0,0.14966,7.7983e-24
125.0,0.14966,6.8448e-24
126.0,0.14966,5.9874e-24
127.0,0.14966,5.2185e-24
128.0,0.14966,4.5307e-24
129.0,0.14966,3.9173e-24
130.0,0.14966,3.3719e-24
131.0,0.14966,2.8885e-24
132.0,0.14966,2.4615e-24
133.0,0.14966,2.0858e-24
134.0,0.14966,1.7565e-24
135.0,0.14966,1.4691e-24
136.0,0.14966,1.2197e-24
137.0,0.14966,1.0043e-24
138.0,0.14966,8.1943e-25
139.0,0.14966,6.6194e-25
140.0,0.14966,5.2887e-25
141.0,0.14966,4.1752e-25
142.0,0.14966,3.2544e-25
143.0,0.14966,2.5039e-25
144.0,0.14966,1.9034e-25
145.0,0.14966,1.4345e-25
146.0,0.14966,1.0806e-25
147.0,0.14966,8.266e-26
148.0,0.14966,6.5909e-26
149.0,0.14966,5.6589e-26
150.0,0.14966,5.3612e-26
151.0,0.14966,5.6006e-26
152.0,0.14966,6.2904e-26
153.0,0.14966,7.3536e-26
154.0,0.14966,8.7216e-26
155.0,0.14966,1.0334e-25
156.0,0.14966,1.2137e-25
157.0,0.14966,1.4084e-25
158.0,0.14966,1.6133e-25
159.0,0.14966,1.8248e-25
160.0,0.14966,2.0398e-25
161.0,0.14966,2.2555e-25
162.0,0.14966,2.4695e-25
163.0,0.14966,2.6797e-25
164.0,0.14966,2.8844e-25
165.0,0.14966,3.082e-25
166.0,0.14966,3.2713e-25
167.0,0.14966,3.451e-25
168.0,0.14966,3.6202e-25
169.0,0.14966,3.7782e-25
170.0,0.14966,3.9242e-25
171.0,0.14966,4.0578e-25
172.0,0.14966,4.1783e-25
173.0,0.14966,4.2854e-25
174.0,0.14966,4.3788e-25
175.0,0.14966,4.4582e-25
176.0,0.14966,4.5235e-25
177.0,0.14966,4.5744e-25
178.0,0.14966,4.6108e-25
179.0,0.14966,4.6327e-25
180.0,0.14966,4.64e-25
0.0,0.16327,2.2132e-21
1.0,0.16327,2.2125e-21
2.0,0.16327,2.2106e-21
3.0,0.16327,2.2073e-21
4.0,0.16327,2.2027e-21
5.0,0.16327,2.1968e-21
6.0,0.16327,2.1897e-21
7.0,0.16327,2.1812e-21
8.0,0.16327,2.1715e-21
9.0,0.16327,2.1605e-21
10.0,0.16327,2.1484e-21
11.0,0.16327,2.135e-21
12.0,0.16327,2.1204e-21
13.0,0.16327,2.1047e-21
14.0,0.16327,2.0878e-21
15.0,0.16327,2.0698e-21
16.0,0.16327,2.0507e-21
17.0,0.16327,2.0306e-21
18.0,0.16327,2.0094e-21
19.0,0.16327,1.9873e-21
20.0,0.16327,1.9642e-21
21.0,0.16327,1.9401e-21
22.0,0.16327,1.9152e-21
23.0,0.16327,1.8894e-21
24.0,0.16327,1.8628e-21
25.0,0.16327,1.8355e-21
26.0,0.16327,1.8074e-21
27.0,0.16327,1.7786e-21
28.0,0.16327,1.7491e-21
29.0,0.16327,1.719e-21
30.0,0.16327,1.6884e-21
31.0,0.16327,1.6572e-21
32.0,0.16327,1.6255e-21
33.0,0.16327,1.5934e-21
34.0,0.16327,1.5608e-21
35.0,0.16327,1.5279e-21
36.0,0.16327,1.4947e-21
37.0,0.16327,1.4611e-21
38.0,0.16327,1.4274e-21
39.0,0.16327,1.3934e-21
40.0,0.16327,1.3592e-21
41.0,0.16327,1.325e-21
42.0,0.16327,1.2906e-21
43.0,0.16327,1.2562e-21
44.0,0.16327,1.2218e-21
45.0,0.16327,1.1874e-21
46.0,0.16327,1.1531e-21
47.0,0.16327,1.119e-21
48.0,0.16327,1.0849e-21
49.0,0.16327,1.0511e-21
50.0,0.16327,1.0174e-21
51.0,0.16327,9.8406e-22
52.0,0.16327,9.5096e-22
53.0,0.16327,9.1819e-22
54.0,0.16327,8.8577e-22
55.0,0.16327,8.5374e-22
56.0,0.16327,8.2211e-22
57.0,0.16327,7.9093e-22
58.0,0.16327,7.6021e-22
59.0,0.16327,7.2999e-22
60.0,0.16327,7.0029e-22
61.0,0.16327,6.7113e-22
62.0,0.16327,6.4254e-22
63.0,0.16327,6.1453e-22
64.0,0.16327,5.8713e-22
65.0,0.16327,5.6035e-22
66.0,0.16327,5.3421e-22
67.0,0.16327,5.0873e-22
68.0,0.16327,4.8392e-22
69.0,0.16327,4.5979e-22
70.0,0.16327,4.3634e-22
71.0,0.16327,4.136e-22
72.0,0.16327,3.9156e-22
73.0,0.16327,3.7023e-22
74.0,0.16327,3.4962e-22
75.0,0.16327,3.2973e-22
76.0,0.16327,3.1055e-22
77.0,0.16327,2.921e-22
78.0,0.16327,2.7435e-22
79.0,0.16327,2.5732e-22
80.0,0.16327,2.41e-22
81.0,0.16327,2.2537e-22
82.0,0.16327,2.1044e-22
83.0,0.16327,1.9618e-22
84.0,0.16327,1.826e-22
85.0,0.16327,1.6968e-22
86.0,0.16327,1.574e-22
87.0,0.16327,1.4576e-22
88.0,0.16327,1.3474e-22
89.0,0.16327,1.2432e-22
90.0,0.16327,1.1449e-22
91.0,0.16327,1.0522e-22
92.0,0.16327,9.651e-23
93.0,0.16327,8.8332e-23
94.0,0.16327,8.067e-23
95.0,0.16327,7.3504e-23
96.0,0.16327,6.6815e-23
97.0,0.16327,6.0585e-23
98.0,0.16327,5.4793e-23
99.0,0.16327,4.942e-23
100.0,0.16327,4.4446e-23
101.0,0.16327,3.9853e-23
102.0,0.16327,3.562e-23
103.0,0.16327,3.173e-23
104.0,0.16327,2.8163e-23
105.0,0.16327,2.4901e-23
106.0,0.16327,2.1927e-23
107.0,0.16327,1.9223e-23
108.0,0.16327,1.6771e-23
109.0,0.16327,1.4556e-23
110.0,0.16327,1.2562e-23
111.0,0.16327,1.0774e-23
112.0,0.16327,9.1758e-24
113.0,0.16327,7.7548e-24
114.0,0.16327,6.4971e-24
115.0,0.16327,5.3901e-24
116.0,0.16327,4.4216e-24
117.0,0.16327,3.5801e-24
118.0,0.16327,2.8547e-24
119.0,0.16327,2.2352e-24
120.0,0.16327,1.7121e-24
121.0,0.16327,1.2764e-24
122.0,0.16327,9.1955e-25
123.0,0.16327,6.3387e-25
124.0,0.16327,4.1206e-25
125.0,0.16327,2.474e-25
126.0,0.16327,1.3369e-25
127.0,0.16327,6.5197e-26
128.0,0.16327,3.668e-26
129.0,0.16327,4.3333e-26
130.0,0.16327,8.077e-26
131.0,0.16327,1.45e-25
132.0,0.16327,2.324e-25
133.0,0.16327,3.397e-25
134.0,0.16327,4.6394e-25
135.0,0.16327,6.0247e-25
136.0,0.16327,7.529e-25
137.0,0.16327,9.1312e-25
138.0,0.16327,1.0812e-24
139.0,0.16327,1.2556e-24
140.0,0.16327,1.4346e-24
141.0,0.16327,1.6171e-24
142.0,0.16327,1.8018e-24
143.0,0.16327,1.9877e-24
144.0,0.16327,2.174e-24
145.0,0.16327,2.3599e-24
146.0,0.16327,2.5448e-24
147.0,0.16327,2.7279e-24
148.0,0.16327,2.9088e-24
149.0,0.16327,3.0871e-24
150.0,0.16327,3.2624e-24
151.0,0.16327,3.4343e-24
152.0,0.16327,3.6026e-24
153.0,0.16327,3.7669e-24
154.0,0.16327,3.9271e-24
155.0,0.16327,4.0829e-24
156.0,0.16327,4.2341e-24
157.0,0.16327,4.3806e-24
158.0,0.16327,4.5222e-24
159.0,0.16327,4.6587e-24
160.0,0.16327,4.7901e-24
161.0,0.16327,4.916e-24
162.0,0.16327,5.0366e-24
163.0,0.16327,5.1515e-24
164.0,0.16327,5.2606e-24
165.0,0.16327,5.3639e-24
166.0,0.16327,5.4612e-24
167.0,0.16327,5.5524e-24
168.0,0.16327,5.6374e-24
169.0,0.16327,5.7161e-24
170.0,0.16327,5.7883e-24
171.0,0.16327,5.8539e-24
172.0,0.16327,5.9129e-24
173.0,0.16327,5.9652e-24
174.0,0.16327,6.0107e-24
175.0,0.16327,6.0493e-24
176.0,0.16327,6.081e-24
177.0,0.16327,6.1057e-24
178.0,0.16327,6.1234e-24
179.0,0.16327,6.134e-24
180.0,0.16327,6.1375e-24
0.0,0.17687,2.1117e-21
1.0,0.17687,2.1111e-21
2.0,0.17687,2.1092e-21
3.0,0.17687,2.106e-21
4.0,0.17687,2.1016e-21
5.0,0.17687,2.0959e-21
6.0,0.17687,2.089e-21
7.0,0.17687,2.0809e-21
8.0,0.17687,2.0715e-21
9.0,0.17687,2.0609e-21
10.0,0.17687,2.0491e-21
11.0,0.17687,2.0362e-21
12.0,0.17687,2.022e-21
13.0,0.17687,2.0068e-21
14.0,0.17687,1.9903e-21
15.0,0.17687,1.9728e-21
16.0,0.17687,1.9542e-21
17.0,0.17687,1.9346e-21
18.0,0.17687,1.9139e-21
19.0,0.17687,1.8922e-21
20.0,0.17687,1.8695e-21
21.0,0.17687,1.8459e-21
22.0,0.17687,1.8213e-21
23.0,0.17687,1.7959e-21
24.0,0.17687,1.7696e-21
25.0,0.17687,1.7425e-21
26.0,0.17687,1.7146e-21
27.0,0.17687,1.6859e-21
28.0,0.17687,1.6566e-21
29.0,0.17687,1.6265e-21
30.0,0.17687,1.5959e-21
31.0,0.17687,1.5646e-21
32.0,0.17687,1.5328e-21
33.0,0.17687,1.5005e-21
34.0,0.17687,1.4677e-21
35.0,0.17687,1.4345e-21
36.0,0.17687,1.4009e-21
37.0,0.17687,1.3669e-21
38.0,0.17687,1.3327e-21
39.0,0.17687,1.2982e-21
40.0,0.17687,1.2635e-21
41.0,0.17687,1.2287e-21
42.0,0.17687,1.1937e-21
43.0,0.17687,1.1587e-21
44.0,0.17687,1.1237e-21
45.0,0.17687,1.0886e-21
46.0,0.17687,1.0537e-21
47.0,0.17687,1.0189e-21
48.0,0.17687,9.842e-22
49.0,0.17687,9.4974e-22
50.0,0.17687,9.1552e-22
51.0,0.17687,8.816e-22
52.0,0.17687,8.4801e-22
53.0,0.17687,8.1479e-22
54.0,0.17687,7.8199e-22
55.0,0.17687,7.4964e-22
56.0,0.17687,7.1778e-22
57.0,0.17687,6.8644e-22
58.0,0.17687,6.5566e-22
59.0,0.17687,6.2548e-22
60.0,0.17687,5.9591e-22
61.0,0.17687,5.67e-22
62.0,0.17687,5.3876e-22
63.0,0.17687,5.1123e-22
64.0,0.17687,4.8442e-22
65.0,0.17687,4.5835e-22
66.0,0.17687,4.3305e-22
67.0,0.17687,4.0853e-22
68.0,0.17687,3.848e-22
69.0,0.17687,3.6187e-22
70.0,0.17687,3.3976e-22
71.0,0.17687,3.1846e-22
72.0,0.17687,2.9799e-22
73.0,0.17687,2.7835e-22
74.0,0.17687,2.5953e-22
75.0,0.17687,2.4153e-22
76.0,0.17687,2.2435e-22
77.0,0.17687,2.0798e-22
78.0,0.17687,1.9241e-22
79.0,0.17687,1.7763e-22
80.0,0.17687,1.6363e-22
81.0,0.17687,1.504e-22
82.0,0.17687,1.3791e-22
83.0,0.17687,1.2615e-22
84.0,0.17687,1.151e-22
85.0,0.17687,1.0475e-22
86.0,0.17687,9.5059e-23
87.0,0.17687,8.602e-23
88.0,0.17687,7.7605e-23
89.0,0.17687,6.9791e-23
90.0,0.17687,6.2553e-23
91.0,0.17687,5.5866e-23
92.0,0.17687,4.9707e-23
93.0,0.17687,4.4048e-23
94.0,0.17687,3.8867e-23
95.0,0.17687,3.4136e-23
96.0,0.17687,2.9831e-23
97.0,0.17687,2.5928e-23
98.0,0.17687,2.2402e-23
99.0,0.17687,1.923e-23
100.0,0.17687,1.6389e-23
101.0,0.17687,1.3855e-23
102.0,0.17687,1.1608e-23
103.0,0.17687,9.6258e-24
104.0,0.17687,7.8885e-24
105.0,0.17687,6.3769e-24
106.0,0.17687,5.0724e-24
107.0,0.17687,3.9575e-24
108.0,0.17687,3.0156e-24
109.0,0.17687,2.231e-24
110.0,0.17687,1.5889e-24
111.0,0.17687,1.0756e-24
112.0,0.17687,6.7825e-25
113.0,0.17687,3.8478e-25
114.0,0.17687,1.8415e-25
115.0,0.17687,6.6135e-26
116.0,0.17687,2.136e-26
117.0,0.17687,4.1238e-26
118.0,0.17687,1.1795e-25
119.0,0.17687,2.4442e-25
120.0,0.17687,4.1424e-25
121.0,0.17687,6.2167e-25
122.0,0.17687,8.6159e-25
123.0,0.17687,1.1294e-24
124.0,0.17687,1.4211e-24
125.0,0.17687,1.7332e-24
126.0,0.17687,2.0625e-24
127.0,0.17687,2.4065e-24
128.0,0.17687,2.7626e-24
129.0,0.17687,3.1291e-24
130.0,0.17687,3.5042e-24
131.0,0.17687,3.8866e-24
132.0,0.17687,4.2751e-24
133.0,0.17687,4.6687e-24
134.0,0.17687,5.0667e-24
135.0,0.17687,5.4684e-24
136.0,0.17687,5.8734e-24
137.0,0.17687,6.2813e-24
138.0,0.17687,6.6918e-24
139.0,0.17687,7.1047e-24
140.0,0.17687,7.5197e-24
141.0,0.17687,7.9368e-24
142.0,0.17687,8.3557e-24
143.0,0.17687,8.7764e-24
144.0,0.17687,9.1987e-24
145.0,0.17687,9.6224e-24
146.0,0.17687,1.0047e-23
147.0,0.17687,1.0473e-23
148.0,0.17687,1.09e-23
149.0,0.17687,1.1326e-23
150.0,0.17687,1.1753e-23
151.0,0.17687,1.2179e-23
152.0,0.17687,1.2604e-23
153.0,0.17687,1.3027e-23
154.0,0.17687,1.3447e-23
155.0,0.17687,1.3865e-23
156.0,0.17687,1.4278e-23
157.0,0.17687,1.4686e-23
158.0,0.17687,1.5089e-23
159.0,0.17687,1.5485e-23
160.0,0.17687,1.5872e-23
161.0,0.17687,1.6251e-23
162.0,0.17687,1.662e-23
163.0,0.17687,1.6977e-23
164.0,0.17687,1.7322e-23
165.0,0.17687,1.7654e-23
166.0,0.17687,1.797e-23
167.0,0.17687,1.8271e-23
168.0,0.17687,1.8555e-23
169.0,0.17687,1.8821e-23
170.0,0.17687,1.9067e-23
171.0,0.17687,1.9294e-23
172.0,0.17687,1.9499e-23
173.0,0.17687,1.9682e-23
174.0,0.17687,1.9843e-23
175.0,0.17687,1.998e-23
176.0,0.17687,2.0093e-23
177.0,0.17687,2.0181e-23
178.0,0.17687,2.0244e-23
179.0,0.17687,2.0283e-23
180.0,0.17687,2.0295e-23
0.0,0.19048,2.0693e-21
1.0,0.19048,2.0687e-21
2.0,0.19048,2.0667e-21
3.0,0.19048,2.0633e-21
4.0,0.19048,2.0586e-21
5.0,0.19048,2.0526e-21
6.0,0.19048,2.0452e-21
7.0,0.19048,2.0365e-21
8.0,0.19048,2.0266e-21
9.0,0.19048,2.0153e-21
10.0,0.19048,2.0028e-21
11.0,0.19048,1.989e-21
12.0,0.19048,1.9739e-21
13.0,0.19048,1.9576e-21
14.0,0.19048,1.9401e-21
15.0,0.19048,1.9215e-21
16.0,0.19048,1.9016e-21
17.0,0.19048,1.8807e-21
18.0,0.19048,1.8586e-21
19.0,0.19048,1.8355e-21
20.0,0.19048,1.8113e-21
21.0,0.19048,1.7861e-21
22.0,0.19048,1.7599e-21
23.0,0.19048,1.7328e-21
24.0,0.19048,1.7047e-21
25.0,0.19048,1.6758e-21
26.0,0.19048,1.6461e-21
27.0,0.19048,1.6156e-21
28.0,0.19048,1.5843e-21
29.0,0.19048,1.5524e-21
30.0,0.19048,1.5197e-21
31.0,0.19048,1.4865e-21
32.0,0.19048,1.4527e-21
33.0,0.19048,1.4184e-21
